busNum   Device   funNum     result
 0        0        0       0xc008086
 0        1        0       0xc018086
 0        2        0       0x4128086
 0        3        0       0xc0c8086
 0       14        0       0x8c318086
 0       16        0       0x8c3a8086
 0       19        0       0x153b8086
 0       1a        0       0x8c2d8086
 0       1b        0       0x8c208086
 0       1c        0       0x8c108086
 0       1c        5       0x244e8086
 0       1d        0       0x8c268086
 0       1f        0       0x8c5c8086
 0       1f        2       0x8c028086
 0       1f        3       0x8c228086
 3        0        0       0x10801b21
